File Date,Company,Symbol,Managers,Shares (millions),Price Low,Price High,Est $ Vol (millions),Expected To Trade,SCOOP Rating
2026-09-08,Holtec Nuclear (Postponed),HNUC,J.P.Morgan/Guggenheim Securities/Goldman Sachs/Citigroup/BofA Securities/Morgan Stanley/Cantor/BMO Capital Markets/Oppenheimer & Co.,50.0,$15.00,$18.00,$825.00,Postponed,S/O
2026-09-04,Idea Tech Holding (Withdrawn),IDTL,R.F. Lafferty & Co.,2.0,$4.00,$5.00,$9.00,Withdrawn,S/O
2026-09-04,Jingrui Wang Pu Holdings Group Ltd. (Revived),JRWP,Eddid Securities USA,6.25,$4.00,$6.00,$31.25,TBA,S/O
2026-09-04,Legion Capital Acquisition Corp.,LCAD.U,BTIG,20.0,$10.00,$10.00,$200.00,TBA,S/O
2026-09-04,Rothe Development Corp.,TBA,Titan Partners Group,0.0,,,$50.00,TBA,S/O
2026-09-03,V Capital Consulting Group,VCCG,Craft Capital Management,7.5,$4.00,$4.00,$30.00,TBA,S/O
2026-09-02,Devonian Health (Uplisting),DHGR,ThinkEquity,3.07,$6.00,$8.00,$21.49,Wednesday,S/O
2026-09-01,Bogd FT,BOGD,D. Boral Capital,6.25,$4.00,$6.00,$31.25,TBA,S/O
2026-09-01,Hornbeck Offshore Services (Withdrawn),HOS,J.P. Morgan/ Barclays/DNB Markets/Piper Sandler/Guggenheim Securities/Raymond James,0.0,,,$100.00,Withdrawn,S/O
2026-09-01,RainRock Acquisition,RRCKU,Cohen & Company Capital Markets,15.0,$10.00,$10.00,$150.00,TBA,S/O
2026-08-31,Coolbit Technologies Ltd. (Withdrawn),CBAI,Eddid Securities USA,5.0,$4.00,$5.00,$22.50,Withdrawn,S/O
2026-08-31,Kainan Holding Group Ltd.,KHG,D. Boral Capital,4.0,$4.00,$6.00,$20.00,TBA,S/O
2026-08-31,Syntiant,SYTN,Citigroup/BofA Securities/UBS Investment Bank/Needham & Company/Stifel/Cantor/KeyBanc Capital Markets,0.0,,,$100.00,TBA,S/O
2026-08-31,Three Lions Acquisition Corp.,TLACU,EarlyBirdCapital,10.0,$10.00,$10.00,$100.00,Priced,S/O
2026-08-28,Graf Acquisition Corp. II (Re-Filed),GTOO.U,Lucid Capital Markets,22.0,$10.00,$10.00,$220.00,TBA,S/O
2026-08-28,TurboGen Ltd. (Direct Listing),TRBG,TBA,2.07,$4.42,$4.42,$9.15,Monday,S/O
